Date,Game,Opposition,Home/Away,Metric,Value
2024-10-19,Twickenham (A),Twickenham,A,Tackles Made,67
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Tackles Made,142
2024-11-09,Eastbourne (A),Eastbourne,A,Tackles Made,80
2024-11-16,Trinity (H),Trinity,H,Tackles Made,119
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Tackles Made,98
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Tackles Made,76
2025-01-18,Twickenham (H),Twickenham,H,Tackles Made,90
2025-02-08,Hove (A),Hove,A,Tackles Made,104
2024-09-07,London Cornish (H),London Cornish,H,Tackles Missed,21
2024-10-12,Hove (H),Hove,H,Tackles Missed,33
2024-10-19,Twickenham (A),Twickenham,A,Tackles Missed,18
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Tackles Missed,43
2024-11-09,Eastbourne (A),Eastbourne,A,Tackles Missed,24
2024-11-16,Trinity (H),Trinity,H,Tackles Missed,29
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Tackles Missed,18
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Tackles Missed,16
2025-01-18,Twickenham (H),Twickenham,H,Tackles Missed,30
2025-02-08,Hove (A),Hove,A,Tackles Missed,20
2024-09-07,London Cornish (H),London Cornish,H,Tackle Completion (%),0.72
2024-10-12,Hove (H),Hove,H,Tackle Completion (%),0.75
2024-10-19,Twickenham (A),Twickenham,A,Tackle Completion (%),0.79
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Tackle Completion (%),0.77
2024-11-09,Eastbourne (A),Eastbourne,A,Tackle Completion (%),0.77
2024-11-16,Trinity (H),Trinity,H,Tackle Completion (%),0.8
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Tackle Completion (%),0.84
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Tackle Completion (%),0.8300000000000001
2025-01-18,Twickenham (H),Twickenham,H,Tackle Completion (%),0.75
2025-02-08,Hove (A),Hove,A,Tackle Completion (%),0.84
2024-09-07,London Cornish (H),London Cornish,H,Tackle +,18
2024-10-12,Hove (H),Hove,H,Tackle +,15
2024-10-19,Twickenham (A),Twickenham,A,Tackle +,20
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Tackle +,49
2024-11-09,Eastbourne (A),Eastbourne,A,Tackle +,27
2024-11-16,Trinity (H),Trinity,H,Tackle +,39
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Tackle +,40
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Tackle +,35
2025-01-18,Twickenham (H),Twickenham,H,Tackle +,32
2025-02-08,Hove (A),Hove,A,Tackle +,39
2024-09-07,London Cornish (H),London Cornish,H,Tackle -,25
2024-10-12,Hove (H),Hove,H,Tackle -,26
2024-10-19,Twickenham (A),Twickenham,A,Tackle -,29
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Tackle -,51
2024-11-09,Eastbourne (A),Eastbourne,A,Tackle -,29
2024-11-16,Trinity (H),Trinity,H,Tackle -,53
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Tackle -,38
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Tackle -,23
2025-01-18,Twickenham (H),Twickenham,H,Tackle -,41
2025-02-08,Hove (A),Hove,A,Tackle -,49
2024-09-07,London Cornish (H),London Cornish,H,(+) - (-),-7
2024-10-12,Hove (H),Hove,H,(+) - (-),-11
2024-10-19,Twickenham (A),Twickenham,A,(+) - (-),-9
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,(+) - (-),-2
2024-11-09,Eastbourne (A),Eastbourne,A,(+) - (-),-2
2024-11-16,Trinity (H),Trinity,H,(+) - (-),-14
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,(+) - (-),+2
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,(+) - (-),+12
2025-01-18,Twickenham (H),Twickenham,H,(+) - (-),-9
2025-02-08,Hove (A),Hove,A,(+) - (-),-10
2024-09-07,London Cornish (H),London Cornish,H,Opposition Kicks,6
2024-10-12,Hove (H),Hove,H,Opposition Kicks,20
