match_id,season,date,date_raw,competition,home_team,away_team,home_score,away_score
516968,2015-2016,2015-12-05,"Saturday, 05 Dec 2015",Division 3 - Conf 1,Chichester 2nd XV,East Grinstead II,0,25
517184,2015-2016,2015-12-12,"Saturday, 12 Dec 2015",Division 3 - Conf 4,Cobham 2nd XV,East Grinstead II,19,69
517193,2015-2016,2015-12-19,"Saturday, 19 Dec 2015",Division 3 - Conf 4,Blackheath 3rd XV,East Grinstead II,7,80
528975,2015-2016,2016-01-09,"Saturday, 09 Jan 2016",Division 3 - Conf 4,Rosslyn Park Hatters (5th XV),East Grinstead II,38,46
517212,2015-2016,2016-01-16,"Saturday, 16 Jan 2016",Division 3 - Conf 4,Sutton & Epsom 2nd XV,East Grinstead II,5,27
517222,2015-2016,2016-01-23,"Saturday, 23 Jan 2016",Division 3 - Conf 4,East Grinstead II,London Irish Amateur Bohemians (3rd XV),,
516972,2015-2016,2016-01-30,"Saturday, 30 Jan 2016",Division 3 - Conf 1,London Scottish Claymores (Amateurs 2nd XV),East Grinstead II,0,84
516976,2015-2016,2016-02-13,"Saturday, 13 Feb 2016",Division 3 - Conf 1,East Grinstead II,Esher Development XV,,
516979,2015-2016,2016-02-20,"Saturday, 20 Feb 2016",Division 3 - Conf 1,Old Reigatian 2nd XV,East Grinstead II,,
517175,2015-2016,2016-02-27,"Saturday, 27 Feb 2016",Division 3 - Conf 4,East Grinstead II,Battersea Ironsides 2nd XV,,
516981,2015-2016,2016-03-05,"Saturday, 05 Mar 2016",Division 3 - Conf 1,East Grinstead II,Chichester 2nd XV,,
517241,2015-2016,2016-03-19,"Saturday, 19 Mar 2016",Division 3 - Conf 4,London Cornish 2nd XV,East Grinstead II,,
516986,2015-2016,2016-04-02,"Saturday, 02 Apr 2016",Division 3 - Conf 1,East Grinstead II,Hammersmith & Fulham II,19,16
517250,2015-2016,2016-04-09,"Saturday, 09 Apr 2016",Division 3 - Conf 4,East Grinstead II,Richmond Normans (4th XV),29,24
651488,2017-2018,2017-09-09,"Saturday, 09 Sep 2017",Sussex 3 'Forwards Choice',East Grinstead II,Bognor II,17,31
651492,2017-2018,2017-09-16,"Saturday, 16 Sep 2017",Sussex 3 'Forwards Choice',East Grinstead II,Burgess Hill II,15,27
651496,2017-2018,2017-09-23,"Saturday, 23 Sep 2017",Sussex 3 'Forwards Choice',Brighton III,East Grinstead II,27,12
651505,2017-2018,2017-09-30,"Saturday, 30 Sep 2017",Sussex 3 'Forwards Choice',East Grinstead II,Eastbourne II,19,7
672008,2017-2018,2017-10-21,"Saturday, 21 Oct 2017",Sussex 3 'Forwards Choice',East Grinstead II,St Leonards Cinque Ports,47,7
651519,2017-2018,2017-10-28,"Saturday, 28 Oct 2017",Sussex 3 'Forwards Choice',East Grinstead II,Hellingly II,49,10
651528,2017-2018,2017-11-25,"Saturday, 25 Nov 2017",Sussex 3 'Forwards Choice',East Grinstead II,Pulborough III,25,24
651533,2017-2018,2017-12-02,"Saturday, 02 Dec 2017",Sussex 3 'Forwards Choice',Bognor II,East Grinstead II,21,31
651537,2017-2018,2017-12-09,"Saturday, 09 Dec 2017",Sussex 3 'Forwards Choice',Burgess Hill II,East Grinstead II,5,52
651541,2017-2018,2018-01-06,"Saturday, 06 Jan 2018",Sussex 3 'Forwards Choice',East Grinstead II,Brighton III,37,17
651550,2017-2018,2018-01-13,"Saturday, 13 Jan 2018",Sussex 3 'Forwards Choice',Eastbourne II,East Grinstead II,12,91
651560,2017-2018,2018-02-17,"Saturday, 17 Feb 2018",Sussex 3 'Forwards Choice',East Grinstead II,St Leonards Cinque Ports,10,32
